latitide,longitude,date
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigolOJQ6dMDm+tk9\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigoBnfLc1xKWOG5Y\nc4aUYi4=\n""",1499465742
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigr9OkpxoZr4QPg+\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigqISkHibhFNaeE4\nc4aUYi4=\n""",1499465757
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigoJVjGH6GEZTxkC\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigqk0rZtBOB2ptMH\nc4aUYi4=\n""",1499465772
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigoB90GGE172GnFj\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigpm3qN9FBxayztl\nc4aUYi4=\n""",1499465790
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigq8xXJsXVqn08kN\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigpZTEK3g44jpj1B\nc4aUYi4=\n""",1499465804
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigrNSxdmFZnz7iQC\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigpDU56/NJkB1C5b\nc4aUYi4=\n""",1499465818
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigppZ9jDaQt4WdNk\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigrv81BoiiSrEQI8\nc4aUYi4=\n""",1499465823
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigrteGGGQVM7Ckdg\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigr2j/Rp1S5mvnB5\nc4aUYi4=\n""",1499465837
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigpq6lJj6m40LOF4\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigp0SBWgMD93Udl3\nc4aUYi4=\n""",1499465838
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigo4Pa4ELUcrp0dR\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigp6o0p5iE8jEJhV\nc4aUYi4=\n""",1499465850
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigpinZ3sT4dt79ZV\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigqPd8LMBX7EWhsR\nc4aUYi4=\n""",1499465862
"""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigqnuSpIFRnOhOkW\nc4aUYi4=\n""","""gASVbAAAAAAAAACMDm1weWMuZmluZmllbGRzlIwaUHJpbWVGaWVsZEVsZW1lbnQuY3JlYXRlR0aU\nk5SKCxcAAAAAAAAAAIAASwKKCxYAAAAAAAAAAIAAh5RSlE59lIwFdmFsdWWUigrNjGJOLukJCJsj\nc4aUYi4=\n""",1499465876
